LECROYWM808Zi-A 0 Histogram
Segments 1 SegmentSize 200
Segment TrigTime TimeSinceSegment1
#1 17-Aug-2023 14:49:11 0                 
Time Ampl
-1.5e-012 0
-1.45e-012 0
-1.4e-012 0
-1.35e-012 0
-1.3e-012 0
-1.25e-012 0
-1.2e-012 0
-1.15e-012 0
-1.1e-012 0
-1.05e-012 0
-1e-012 0
-9.5e-013 0
-9e-013 0
-8.5e-013 0
-8e-013 0
-7.5e-013 0
-7e-013 0
-6.5e-013 0
-6e-013 0
-5.5e-013 0
-5e-013 0
-4.5e-013 0
-4e-013 0
-3.5e-013 0
-3e-013 0
-2.5e-013 0
-2e-013 0
-1.5e-013 0
-1e-013 0
-5e-014 0
1.262e-029 0
5e-014 0
1e-013 0
1.5e-013 0
2e-013 0
2.5e-013 0
3e-013 0
3.5e-013 0
4e-013 0
4.5e-013 0
5e-013 0
5.5e-013 0
6e-013 0
6.5e-013 0
7e-013 0
7.5e-013 0
8e-013 0
8.5e-013 0
9e-013 0
9.5e-013 0
1e-012 0
1.05e-012 0
1.1e-012 0
1.15e-012 0
1.2e-012 0
1.25e-012 3
1.3e-012 6
1.35e-012 13
1.4e-012 17
1.45e-012 19
1.5e-012 21
1.55e-012 33
1.6e-012 57
1.65e-012 73
1.7e-012 127
1.75e-012 149
1.8e-012 198
1.85e-012 214
1.9e-012 295
1.95e-012 346
2e-012 420
2.05e-012 441
2.1e-012 500
2.15e-012 501
2.2e-012 617
2.25e-012 634
2.3e-012 604
2.35e-012 663
2.4e-012 633
2.45e-012 699
2.5e-012 651
2.55e-012 605
2.6e-012 611
2.65e-012 558
2.7e-012 571
2.75e-012 541
2.8e-012 571
2.85e-012 536
2.9e-012 525
2.95e-012 503
3e-012 470
3.05e-012 440
3.1e-012 469
3.15e-012 453
3.2e-012 463
3.25e-012 427
3.3e-012 424
3.35e-012 429
3.4e-012 390
3.45e-012 408
3.5e-012 399
3.55e-012 347
3.6e-012 380
3.65e-012 394
3.7e-012 402
3.75e-012 402
3.8e-012 404
3.85e-012 398
3.9e-012 388
3.95e-012 372
4e-012 363
4.05e-012 362
4.1e-012 398
4.15e-012 398
4.2e-012 387
4.25e-012 399
4.3e-012 374
4.35e-012 418
4.4e-012 408
4.45e-012 369
4.5e-012 421
4.55e-012 386
4.6e-012 444
4.65e-012 432
4.7e-012 466
4.75e-012 453
4.8e-012 480
4.85e-012 466
4.9e-012 494
4.95e-012 498
5e-012 517
5.05e-012 555
5.1e-012 571
5.15e-012 614
5.2e-012 548
5.25e-012 581
5.3e-012 621
5.35e-012 605
5.4e-012 545
5.45e-012 573
5.5e-012 578
5.55e-012 519
5.6e-012 500
5.65e-012 468
5.7e-012 382
5.75e-012 342
5.8e-012 286
5.85e-012 276
5.9e-012 236
5.95e-012 200
6e-012 167
6.05e-012 135
6.1e-012 113
6.15e-012 99
6.2e-012 66
6.25e-012 37
6.3e-012 36
6.35e-012 22
6.4e-012 12
6.45e-012 7
6.5e-012 3
6.55e-012 3
6.6e-012 3
6.65e-012 3
6.7e-012 1
6.75e-012 1
6.8e-012 0
6.85e-012 0
6.9e-012 0
6.95e-012 0
7e-012 0
7.05e-012 0
7.1e-012 0
7.15e-012 0
7.2e-012 0
7.25e-012 0
7.3e-012 0
7.35e-012 0
7.4e-012 0
7.45e-012 0
7.5e-012 0
7.55e-012 0
7.6e-012 0
7.65e-012 0
7.7e-012 0
7.75e-012 0
7.8e-012 0
7.85e-012 0
7.9e-012 0
7.95e-012 0
8e-012 0
8.05e-012 0
8.1e-012 0
8.15e-012 0
8.2e-012 0
8.25e-012 0
8.3e-012 0
8.35e-012 0
8.4e-012 0
8.45e-012 0
