LECROYWM808Zi-A 0 Histogram
Segments 1 SegmentSize 200
Segment TrigTime TimeSinceSegment1
#1 17-Aug-2023 13:33:07 0                 
Time Ampl
-3.57e-012 0
-3.545e-012 0
-3.52e-012 0
-3.495e-012 0
-3.47e-012 0
-3.445e-012 0
-3.42e-012 0
-3.395e-012 0
-3.37e-012 0
-3.345e-012 0
-3.32e-012 0
-3.295e-012 0
-3.27e-012 0
-3.245e-012 0
-3.22e-012 0
-3.195e-012 0
-3.17e-012 0
-3.145e-012 0
-3.12e-012 0
-3.095e-012 0
-3.07e-012 0
-3.045e-012 0
-3.02e-012 0
-2.995e-012 0
-2.97e-012 0
-2.945e-012 0
-2.92e-012 0
-2.895e-012 0
-2.87e-012 0
-2.845e-012 0
-2.82e-012 0
-2.795e-012 0
-2.77e-012 0
-2.745e-012 0
-2.72e-012 0
-2.695e-012 0
-2.67e-012 0
-2.645e-012 0
-2.62e-012 0
-2.595e-012 1
-2.57e-012 0
-2.545e-012 5
-2.52e-012 4
-2.495e-012 11
-2.47e-012 14
-2.445e-012 30
-2.42e-012 50
-2.395e-012 79
-2.37e-012 113
-2.345e-012 181
-2.32e-012 226
-2.295e-012 327
-2.27e-012 424
-2.245e-012 505
-2.22e-012 626
-2.195e-012 771
-2.17e-012 813
-2.145e-012 935
-2.12e-012 1048
-2.095e-012 1062
-2.07e-012 998
-2.045e-012 980
-2.02e-012 956
-1.995e-012 958
-1.97e-012 848
-1.945e-012 810
-1.92e-012 736
-1.895e-012 630
-1.87e-012 656
-1.845e-012 664
-1.82e-012 572
-1.795e-012 583
-1.77e-012 607
-1.745e-012 575
-1.72e-012 526
-1.695e-012 526
-1.67e-012 520
-1.645e-012 525
-1.62e-012 539
-1.595e-012 520
-1.57e-012 503
-1.545e-012 482
-1.52e-012 485
-1.495e-012 493
-1.47e-012 448
-1.445e-012 397
-1.42e-012 415
-1.395e-012 383
-1.37e-012 389
-1.345e-012 380
-1.32e-012 361
-1.295e-012 355
-1.27e-012 347
-1.245e-012 324
-1.22e-012 341
-1.195e-012 324
-1.17e-012 324
-1.145e-012 298
-1.12e-012 320
-1.095e-012 337
-1.07e-012 320
-1.045e-012 322
-1.02e-012 316
-9.95e-013 345
-9.7e-013 368
-9.45e-013 406
-9.2e-013 332
-8.95e-013 347
-8.7e-013 344
-8.45e-013 367
-8.2e-013 364
-7.95e-013 336
-7.7e-013 346
-7.45e-013 324
-7.2e-013 327
-6.95e-013 328
-6.7e-013 284
-6.45e-013 277
-6.2e-013 278
-5.95e-013 260
-5.7e-013 234
-5.45e-013 237
-5.2e-013 234
-4.95e-013 225
-4.7e-013 226
-4.45e-013 197
-4.2e-013 218
-3.95e-013 208
-3.7e-013 205
-3.45e-013 201
-3.2e-013 230
-2.95e-013 205
-2.7e-013 224
-2.45e-013 220
-2.2e-013 223
-1.95e-013 223
-1.7e-013 223
-1.45e-013 227
-1.2e-013 218
-9.5e-014 230
-7e-014 236
-4.5e-014 234
-2e-014 237
5e-015 244
3e-014 222
5.5e-014 218
8e-014 205
1.05e-013 215
1.3e-013 225
1.55e-013 211
1.8e-013 201
2.05e-013 199
2.3e-013 225
2.55e-013 242
2.8e-013 244
3.05e-013 251
3.3e-013 265
3.55e-013 290
3.8e-013 282
4.05e-013 353
4.3e-013 331
4.55e-013 381
4.8e-013 383
5.05e-013 391
5.3e-013 338
5.55e-013 337
5.8e-013 307
6.05e-013 283
6.3e-013 214
6.55e-013 191
6.8e-013 175
7.05e-013 122
7.3e-013 104
7.55e-013 94
7.8e-013 59
8.05e-013 40
8.3e-013 19
8.55e-013 4
8.8e-013 4
9.05e-013 7
9.3e-013 2
9.55e-013 1
9.8e-013 2
1.005e-012 1
1.03e-012 1
1.055e-012 0
1.08e-012 0
1.105e-012 0
1.13e-012 0
1.155e-012 1
1.18e-012 0
1.205e-012 0
1.23e-012 0
1.255e-012 0
1.28e-012 0
1.305e-012 0
1.33e-012 0
1.355e-012 0
1.38e-012 0
1.405e-012 0
