LECROYWM808Zi-A 0 Histogram
Segments 1 SegmentSize 200
Segment TrigTime TimeSinceSegment1
#1 17-Aug-2023 13:55:57 0                 
Time Ampl
-2.71e-012 0
-2.685e-012 0
-2.66e-012 0
-2.635e-012 0
-2.61e-012 0
-2.585e-012 0
-2.56e-012 0
-2.535e-012 0
-2.51e-012 0
-2.485e-012 0
-2.46e-012 0
-2.435e-012 0
-2.41e-012 0
-2.385e-012 0
-2.36e-012 0
-2.335e-012 0
-2.31e-012 0
-2.285e-012 0
-2.26e-012 0
-2.235e-012 0
-2.21e-012 0
-2.185e-012 0
-2.16e-012 0
-2.135e-012 0
-2.11e-012 0
-2.085e-012 0
-2.06e-012 0
-2.035e-012 0
-2.01e-012 0
-1.985e-012 0
-1.96e-012 0
-1.935e-012 0
-1.91e-012 0
-1.885e-012 0
-1.86e-012 0
-1.835e-012 0
-1.81e-012 0
-1.785e-012 0
-1.76e-012 0
-1.735e-012 0
-1.71e-012 0
-1.685e-012 0
-1.66e-012 0
-1.635e-012 0
-1.61e-012 0
-1.585e-012 0
-1.56e-012 1
-1.535e-012 0
-1.51e-012 0
-1.485e-012 0
-1.46e-012 0
-1.435e-012 0
-1.41e-012 0
-1.385e-012 0
-1.36e-012 2
-1.335e-012 3
-1.31e-012 4
-1.285e-012 3
-1.26e-012 3
-1.235e-012 5
-1.21e-012 9
-1.185e-012 11
-1.16e-012 8
-1.135e-012 16
-1.11e-012 25
-1.085e-012 32
-1.06e-012 32
-1.035e-012 31
-1.01e-012 41
-9.85e-013 54
-9.6e-013 59
-9.35e-013 79
-9.1e-013 88
-8.85e-013 101
-8.6e-013 96
-8.35e-013 141
-8.1e-013 148
-7.85e-013 173
-7.6e-013 177
-7.35e-013 210
-7.1e-013 209
-6.85e-013 247
-6.6e-013 277
-6.35e-013 310
-6.1e-013 311
-5.85e-013 349
-5.6e-013 388
-5.35e-013 415
-5.1e-013 450
-4.85e-013 494
-4.6e-013 510
-4.35e-013 498
-4.1e-013 575
-3.85e-013 523
-3.6e-013 575
-3.35e-013 652
-3.1e-013 656
-2.85e-013 619
-2.6e-013 655
-2.35e-013 642
-2.1e-013 711
-1.85e-013 672
-1.6e-013 670
-1.35e-013 674
-1.1e-013 704
-8.5e-014 701
-6e-014 657
-3.5e-014 672
-1e-014 682
1.5e-014 681
4e-014 638
6.5e-014 628
9e-014 605
1.15e-013 589
1.4e-013 574
1.65e-013 533
1.9e-013 519
2.15e-013 513
2.4e-013 484
2.65e-013 398
2.9e-013 397
3.15e-013 410
3.4e-013 340
3.65e-013 311
3.9e-013 276
4.15e-013 259
4.4e-013 253
4.65e-013 224
4.9e-013 199
5.15e-013 183
5.4e-013 140
5.65e-013 150
5.9e-013 120
6.15e-013 122
6.4e-013 87
6.65e-013 85
6.9e-013 52
7.15e-013 62
7.4e-013 46
7.65e-013 40
7.9e-013 34
8.15e-013 37
8.4e-013 27
8.65e-013 16
8.9e-013 8
9.15e-013 14
9.4e-013 7
9.65e-013 8
9.9e-013 7
1.015e-012 7
1.04e-012 4
1.065e-012 2
1.09e-012 1
1.115e-012 0
1.14e-012 1
1.165e-012 2
1.19e-012 0
1.215e-012 0
1.24e-012 0
1.265e-012 0
1.29e-012 0
1.315e-012 0
1.34e-012 0
1.365e-012 0
1.39e-012 0
1.415e-012 0
1.44e-012 0
1.465e-012 0
1.49e-012 0
1.515e-012 0
1.54e-012 0
1.565e-012 0
1.59e-012 0
1.615e-012 0
1.64e-012 0
1.665e-012 0
1.69e-012 0
1.715e-012 0
1.74e-012 0
1.765e-012 0
1.79e-012 0
1.815e-012 0
1.84e-012 0
1.865e-012 0
1.89e-012 0
1.915e-012 0
1.94e-012 0
1.965e-012 0
1.99e-012 0
2.015e-012 0
2.04e-012 0
2.065e-012 0
2.09e-012 0
2.115e-012 0
2.14e-012 0
2.165e-012 0
2.19e-012 0
2.215e-012 0
2.24e-012 0
2.265e-012 0
