LECROYWM808Zi-A 0 Histogram
Segments 1 SegmentSize 200
Segment TrigTime TimeSinceSegment1
#1 17-Aug-2023 14:04:07 0                 
Time Ampl
-3.08e-012 0
-3.055e-012 0
-3.03e-012 0
-3.005e-012 0
-2.98e-012 0
-2.955e-012 0
-2.93e-012 0
-2.905e-012 0
-2.88e-012 0
-2.855e-012 0
-2.83e-012 0
-2.805e-012 0
-2.78e-012 0
-2.755e-012 0
-2.73e-012 0
-2.705e-012 0
-2.68e-012 0
-2.655e-012 0
-2.63e-012 0
-2.605e-012 0
-2.58e-012 0
-2.555e-012 0
-2.53e-012 0
-2.505e-012 0
-2.48e-012 0
-2.455e-012 0
-2.43e-012 0
-2.405e-012 0
-2.38e-012 0
-2.355e-012 0
-2.33e-012 0
-2.305e-012 0
-2.28e-012 0
-2.255e-012 0
-2.23e-012 0
-2.205e-012 0
-2.18e-012 0
-2.155e-012 0
-2.13e-012 0
-2.105e-012 0
-2.08e-012 0
-2.055e-012 0
-2.03e-012 0
-2.005e-012 0
-1.98e-012 0
-1.955e-012 0
-1.93e-012 0
-1.905e-012 0
-1.88e-012 0
-1.855e-012 0
-1.83e-012 0
-1.805e-012 0
-1.78e-012 0
-1.755e-012 0
-1.73e-012 0
-1.705e-012 0
-1.68e-012 0
-1.655e-012 0
-1.63e-012 0
-1.605e-012 0
-1.58e-012 0
-1.555e-012 1
-1.53e-012 1
-1.505e-012 1
-1.48e-012 2
-1.455e-012 2
-1.43e-012 2
-1.405e-012 8
-1.38e-012 9
-1.355e-012 8
-1.33e-012 8
-1.305e-012 21
-1.28e-012 29
-1.255e-012 35
-1.23e-012 45
-1.205e-012 57
-1.18e-012 57
-1.155e-012 82
-1.13e-012 84
-1.105e-012 113
-1.08e-012 144
-1.055e-012 174
-1.03e-012 166
-1.005e-012 192
-9.8e-013 247
-9.55e-013 269
-9.3e-013 315
-9.05e-013 328
-8.8e-013 406
-8.55e-013 403
-8.3e-013 458
-8.05e-013 531
-7.8e-013 537
-7.55e-013 571
-7.3e-013 632
-7.05e-013 720
-6.8e-013 726
-6.55e-013 704
-6.3e-013 715
-6.05e-013 825
-5.8e-013 789
-5.55e-013 837
-5.3e-013 789
-5.05e-013 882
-4.8e-013 932
-4.55e-013 875
-4.3e-013 878
-4.05e-013 935
-3.8e-013 942
-3.55e-013 934
-3.3e-013 891
-3.05e-013 863
-2.8e-013 931
-2.55e-013 915
-2.3e-013 913
-2.05e-013 912
-1.8e-013 827
-1.55e-013 828
-1.3e-013 800
-1.05e-013 825
-8e-014 793
-5.5e-014 771
-3e-014 765
-5e-015 662
2e-014 695
4.5e-014 702
7e-014 652
9.5e-014 641
1.2e-013 587
1.45e-013 534
1.7e-013 519
1.95e-013 488
2.2e-013 449
2.45e-013 401
2.7e-013 416
2.95e-013 350
3.2e-013 315
3.45e-013 314
3.7e-013 221
3.95e-013 253
4.2e-013 209
4.45e-013 184
4.7e-013 189
4.95e-013 150
5.2e-013 126
5.45e-013 111
5.7e-013 78
5.95e-013 82
6.2e-013 60
6.45e-013 64
6.7e-013 47
6.95e-013 30
7.2e-013 27
7.45e-013 24
7.7e-013 15
7.95e-013 15
8.2e-013 15
8.45e-013 9
8.7e-013 7
8.95e-013 5
9.2e-013 2
9.45e-013 2
9.7e-013 3
9.95e-013 3
1.02e-012 0
1.045e-012 0
1.07e-012 0
1.095e-012 1
1.12e-012 0
1.145e-012 0
1.17e-012 0
1.195e-012 0
1.22e-012 0
1.245e-012 0
1.27e-012 0
1.295e-012 0
1.32e-012 0
1.345e-012 0
1.37e-012 0
1.395e-012 0
1.42e-012 0
1.445e-012 0
1.47e-012 0
1.495e-012 0
1.52e-012 0
1.545e-012 0
1.57e-012 0
1.595e-012 0
1.62e-012 0
1.645e-012 0
1.67e-012 0
1.695e-012 0
1.72e-012 0
1.745e-012 0
1.77e-012 0
1.795e-012 0
1.82e-012 0
1.845e-012 0
1.87e-012 0
1.895e-012 0
