LECROYWM808Zi-A 0 Histogram
Segments 1 SegmentSize 200
Segment TrigTime TimeSinceSegment1
#1 17-Aug-2023 14:41:27 0                 
Time Ampl
-9.2e-013 0
-8.7e-013 0
-8.2e-013 0
-7.7e-013 0
-7.2e-013 0
-6.7e-013 0
-6.2e-013 0
-5.7e-013 0
-5.2e-013 0
-4.7e-013 0
-4.2e-013 0
-3.7e-013 0
-3.2e-013 0
-2.7e-013 0
-2.2e-013 0
-1.7e-013 0
-1.2e-013 0
-7e-014 0
-2e-014 0
3e-014 0
8e-014 0
1.3e-013 0
1.8e-013 0
2.3e-013 0
2.8e-013 0
3.3e-013 0
3.8e-013 0
4.3e-013 0
4.8e-013 0
5.3e-013 0
5.8e-013 0
6.3e-013 0
6.8e-013 0
7.3e-013 0
7.8e-013 0
8.3e-013 0
8.8e-013 0
9.3e-013 0
9.8e-013 0
1.03e-012 0
1.08e-012 0
1.13e-012 0
1.18e-012 0
1.23e-012 0
1.28e-012 0
1.33e-012 1
1.38e-012 0
1.43e-012 2
1.48e-012 2
1.53e-012 5
1.58e-012 12
1.63e-012 20
1.68e-012 25
1.73e-012 29
1.78e-012 38
1.83e-012 57
1.88e-012 83
1.93e-012 115
1.98e-012 121
2.03e-012 157
2.08e-012 176
2.13e-012 202
2.18e-012 212
2.23e-012 262
2.28e-012 308
2.33e-012 334
2.38e-012 361
2.43e-012 384
2.48e-012 416
2.53e-012 452
2.58e-012 451
2.63e-012 483
2.68e-012 467
2.73e-012 483
2.78e-012 514
2.83e-012 499
2.88e-012 496
2.93e-012 466
2.98e-012 503
3.03e-012 461
3.08e-012 445
3.13e-012 420
3.18e-012 376
3.23e-012 346
3.28e-012 391
3.33e-012 364
3.38e-012 335
3.43e-012 350
3.48e-012 332
3.53e-012 315
3.58e-012 341
3.63e-012 326
3.68e-012 297
3.73e-012 303
3.78e-012 291
3.83e-012 306
3.88e-012 301
3.93e-012 327
3.98e-012 303
4.03e-012 273
4.08e-012 315
4.13e-012 306
4.18e-012 282
4.23e-012 278
4.28e-012 312
4.33e-012 301
4.38e-012 298
4.43e-012 313
4.48e-012 301
4.53e-012 327
4.58e-012 332
4.63e-012 330
4.68e-012 353
4.73e-012 339
4.78e-012 338
4.83e-012 355
4.88e-012 366
4.93e-012 381
4.98e-012 382
5.03e-012 421
5.08e-012 381
5.13e-012 448
5.18e-012 449
5.23e-012 417
5.28e-012 467
5.33e-012 444
5.38e-012 404
5.43e-012 419
5.48e-012 427
5.53e-012 418
5.58e-012 379
5.63e-012 329
5.68e-012 357
5.73e-012 342
5.78e-012 325
5.83e-012 282
5.88e-012 262
5.93e-012 210
5.98e-012 196
6.03e-012 178
6.08e-012 195
6.13e-012 141
6.18e-012 132
6.23e-012 108
6.28e-012 86
6.33e-012 67
6.38e-012 54
6.43e-012 55
6.48e-012 42
6.53e-012 27
6.58e-012 26
6.63e-012 24
6.68e-012 13
6.73e-012 7
6.78e-012 7
6.83e-012 1
6.88e-012 5
6.93e-012 3
6.98e-012 2
7.03e-012 1
7.08e-012 1
7.13e-012 1
7.18e-012 0
7.23e-012 0
7.28e-012 1
7.33e-012 0
7.38e-012 0
7.43e-012 0
7.48e-012 0
7.53e-012 0
7.58e-012 0
7.63e-012 0
7.68e-012 0
7.73e-012 0
7.78e-012 0
7.83e-012 0
7.88e-012 0
7.93e-012 0
7.98e-012 0
8.03e-012 0
8.08e-012 0
8.13e-012 0
8.18e-012 0
8.23e-012 0
8.28e-012 0
8.33e-012 0
8.38e-012 0
8.43e-012 0
8.48e-012 0
8.53e-012 0
8.58e-012 0
8.63e-012 0
8.68e-012 0
8.73e-012 0
8.78e-012 0
8.83e-012 0
8.88e-012 0
8.93e-012 0
8.98e-012 0
9.03e-012 0
