LECROYWM808Zi-A 0 Histogram
Segments 1 SegmentSize 200
Segment TrigTime TimeSinceSegment1
#1 17-Aug-2023 13:15:03 0                 
Time Ampl
-3.28e-012 0
-3.255e-012 0
-3.23e-012 0
-3.205e-012 0
-3.18e-012 0
-3.155e-012 0
-3.13e-012 0
-3.105e-012 0
-3.08e-012 0
-3.055e-012 0
-3.03e-012 0
-3.005e-012 0
-2.98e-012 0
-2.955e-012 0
-2.93e-012 0
-2.905e-012 0
-2.88e-012 0
-2.855e-012 0
-2.83e-012 0
-2.805e-012 0
-2.78e-012 0
-2.755e-012 0
-2.73e-012 0
-2.705e-012 0
-2.68e-012 0
-2.655e-012 0
-2.63e-012 0
-2.605e-012 0
-2.58e-012 0
-2.555e-012 0
-2.53e-012 0
-2.505e-012 0
-2.48e-012 0
-2.455e-012 0
-2.43e-012 0
-2.405e-012 0
-2.38e-012 0
-2.355e-012 0
-2.33e-012 0
-2.305e-012 0
-2.28e-012 1
-2.255e-012 0
-2.23e-012 0
-2.205e-012 0
-2.18e-012 0
-2.155e-012 2
-2.13e-012 2
-2.105e-012 1
-2.08e-012 1
-2.055e-012 1
-2.03e-012 8
-2.005e-012 4
-1.98e-012 12
-1.955e-012 16
-1.93e-012 18
-1.905e-012 15
-1.88e-012 27
-1.855e-012 25
-1.83e-012 38
-1.805e-012 44
-1.78e-012 42
-1.755e-012 46
-1.73e-012 54
-1.705e-012 65
-1.68e-012 68
-1.655e-012 92
-1.63e-012 115
-1.605e-012 120
-1.58e-012 124
-1.555e-012 150
-1.53e-012 169
-1.505e-012 167
-1.48e-012 174
-1.455e-012 191
-1.43e-012 250
-1.405e-012 231
-1.38e-012 287
-1.355e-012 242
-1.33e-012 330
-1.305e-012 315
-1.28e-012 347
-1.255e-012 384
-1.23e-012 389
-1.205e-012 398
-1.18e-012 449
-1.155e-012 534
-1.13e-012 502
-1.105e-012 517
-1.08e-012 540
-1.055e-012 579
-1.03e-012 604
-1.005e-012 603
-9.8e-013 632
-9.55e-013 680
-9.3e-013 704
-9.05e-013 749
-8.8e-013 717
-8.55e-013 719
-8.3e-013 810
-8.05e-013 805
-7.8e-013 752
-7.55e-013 775
-7.3e-013 776
-7.05e-013 798
-6.8e-013 833
-6.55e-013 793
-6.3e-013 806
-6.05e-013 776
-5.8e-013 826
-5.55e-013 743
-5.3e-013 764
-5.05e-013 811
-4.8e-013 755
-4.55e-013 710
-4.3e-013 670
-4.05e-013 737
-3.8e-013 679
-3.55e-013 685
-3.3e-013 627
-3.05e-013 588
-2.8e-013 582
-2.55e-013 602
-2.3e-013 546
-2.05e-013 514
-1.8e-013 477
-1.55e-013 472
-1.3e-013 486
-1.05e-013 426
-8e-014 374
-5.5e-014 381
-3e-014 313
-5e-015 302
2e-014 303
4.5e-014 256
7e-014 245
9.5e-014 253
1.2e-013 209
1.45e-013 216
1.7e-013 167
1.95e-013 157
2.2e-013 146
2.45e-013 127
2.7e-013 109
2.95e-013 119
3.2e-013 86
3.45e-013 73
3.7e-013 84
3.95e-013 54
4.2e-013 61
4.45e-013 47
4.7e-013 49
4.95e-013 52
5.2e-013 37
5.45e-013 27
5.7e-013 21
5.95e-013 24
6.2e-013 18
6.45e-013 11
6.7e-013 16
6.95e-013 9
7.2e-013 2
7.45e-013 5
7.7e-013 4
7.95e-013 1
8.2e-013 1
8.45e-013 0
8.7e-013 2
8.95e-013 1
9.2e-013 0
9.45e-013 0
9.7e-013 0
9.95e-013 0
1.02e-012 0
1.045e-012 0
1.07e-012 0
1.095e-012 0
1.12e-012 0
1.145e-012 0
1.17e-012 0
1.195e-012 0
1.22e-012 0
1.245e-012 0
1.27e-012 0
1.295e-012 0
1.32e-012 0
1.345e-012 0
1.37e-012 0
1.395e-012 0
1.42e-012 0
1.445e-012 0
1.47e-012 0
1.495e-012 0
1.52e-012 0
1.545e-012 0
1.57e-012 0
1.595e-012 0
1.62e-012 0
1.645e-012 0
1.67e-012 0
1.695e-012 0
