LECROYWM808Zi-A 0 Histogram
Segments 1 SegmentSize 200
Segment TrigTime TimeSinceSegment1
#1 17-Aug-2023 14:14:50 0                 
Time Ampl
-2.312e-012 0
-2.302e-012 0
-2.292e-012 0
-2.282e-012 0
-2.272e-012 0
-2.262e-012 0
-2.252e-012 0
-2.242e-012 0
-2.232e-012 0
-2.222e-012 0
-2.212e-012 0
-2.202e-012 0
-2.192e-012 0
-2.182e-012 0
-2.172e-012 0
-2.162e-012 0
-2.152e-012 0
-2.142e-012 0
-2.132e-012 0
-2.122e-012 0
-2.112e-012 0
-2.102e-012 0
-2.092e-012 0
-2.082e-012 1
-2.072e-012 0
-2.062e-012 0
-2.052e-012 0
-2.042e-012 0
-2.032e-012 0
-2.022e-012 0
-2.012e-012 0
-2.002e-012 2
-1.992e-012 0
-1.982e-012 1
-1.972e-012 2
-1.962e-012 2
-1.952e-012 2
-1.942e-012 3
-1.932e-012 3
-1.922e-012 4
-1.912e-012 2
-1.902e-012 5
-1.892e-012 10
-1.882e-012 8
-1.872e-012 6
-1.862e-012 10
-1.852e-012 7
-1.842e-012 15
-1.832e-012 10
-1.822e-012 14
-1.812e-012 26
-1.802e-012 18
-1.792e-012 16
-1.782e-012 43
-1.772e-012 34
-1.762e-012 46
-1.752e-012 32
-1.742e-012 36
-1.732e-012 52
-1.722e-012 55
-1.712e-012 59
-1.702e-012 68
-1.692e-012 78
-1.682e-012 85
-1.672e-012 92
-1.662e-012 110
-1.652e-012 113
-1.642e-012 116
-1.632e-012 143
-1.622e-012 139
-1.612e-012 140
-1.602e-012 167
-1.592e-012 157
-1.582e-012 181
-1.572e-012 222
-1.562e-012 212
-1.552e-012 232
-1.542e-012 213
-1.532e-012 230
-1.522e-012 264
-1.512e-012 279
-1.502e-012 285
-1.492e-012 299
-1.482e-012 254
-1.472e-012 311
-1.462e-012 322
-1.452e-012 357
-1.442e-012 389
-1.432e-012 334
-1.422e-012 369
-1.412e-012 378
-1.402e-012 352
-1.392e-012 435
-1.382e-012 378
-1.372e-012 349
-1.362e-012 404
-1.352e-012 416
-1.342e-012 395
-1.332e-012 395
-1.322e-012 448
-1.312e-012 424
-1.302e-012 424
-1.292e-012 444
-1.282e-012 450
-1.272e-012 448
-1.262e-012 410
-1.252e-012 428
-1.242e-012 424
-1.232e-012 401
-1.222e-012 378
-1.212e-012 463
-1.202e-012 408
-1.192e-012 452
-1.182e-012 471
-1.172e-012 473
-1.162e-012 429
-1.152e-012 425
-1.142e-012 426
-1.132e-012 445
-1.122e-012 410
-1.112e-012 407
-1.102e-012 397
-1.092e-012 439
-1.082e-012 366
-1.072e-012 384
-1.062e-012 371
-1.052e-012 396
-1.042e-012 385
-1.032e-012 366
-1.022e-012 333
-1.012e-012 350
-1.002e-012 315
-9.92e-013 292
-9.82e-013 296
-9.72e-013 311
-9.62e-013 312
-9.52e-013 299
-9.42e-013 278
-9.32e-013 252
-9.22e-013 291
-9.12e-013 247
-9.02e-013 203
-8.92e-013 225
-8.82e-013 202
-8.72e-013 187
-8.62e-013 186
-8.52e-013 159
-8.42e-013 148
-8.32e-013 147
-8.22e-013 135
-8.12e-013 123
-8.02e-013 129
-7.92e-013 108
-7.82e-013 122
-7.72e-013 111
-7.62e-013 73
-7.52e-013 79
-7.42e-013 60
-7.32e-013 61
-7.22e-013 69
-7.12e-013 51
-7.02e-013 40
-6.92e-013 42
-6.82e-013 38
-6.72e-013 38
-6.62e-013 26
-6.52e-013 25
-6.42e-013 21
-6.32e-013 21
-6.22e-013 17
-6.12e-013 8
-6.02e-013 14
-5.92e-013 9
-5.82e-013 9
-5.72e-013 7
-5.62e-013 5
-5.52e-013 4
-5.42e-013 4
-5.32e-013 5
-5.22e-013 2
-5.12e-013 3
-5.02e-013 2
-4.92e-013 1
-4.82e-013 0
-4.72e-013 0
-4.62e-013 2
-4.52e-013 0
-4.42e-013 1
-4.32e-013 0
-4.22e-013 1
-4.12e-013 0
-4.02e-013 1
-3.92e-013 0
-3.82e-013 0
-3.72e-013 1
-3.62e-013 0
-3.52e-013 0
-3.42e-013 0
-3.32e-013 0
-3.22e-013 0
