LECROYWM808Zi-A 0 Histogram
Segments 1 SegmentSize 200
Segment TrigTime TimeSinceSegment1
#1 17-Aug-2023 14:32:35 0                 
Time Ampl
-1.72e-012 0
-1.67e-012 0
-1.62e-012 0
-1.57e-012 0
-1.52e-012 0
-1.47e-012 0
-1.42e-012 0
-1.37e-012 0
-1.32e-012 0
-1.27e-012 0
-1.22e-012 0
-1.17e-012 0
-1.12e-012 0
-1.07e-012 0
-1.02e-012 0
-9.7e-013 0
-9.2e-013 0
-8.7e-013 0
-8.2e-013 0
-7.7e-013 0
-7.2e-013 0
-6.7e-013 0
-6.2e-013 0
-5.7e-013 0
-5.2e-013 0
-4.7e-013 0
-4.2e-013 0
-3.7e-013 0
-3.2e-013 0
-2.7e-013 0
-2.2e-013 0
-1.7e-013 0
-1.2e-013 0
-7e-014 0
-2e-014 0
3e-014 0
8e-014 0
1.3e-013 0
1.8e-013 0
2.3e-013 0
2.8e-013 0
3.3e-013 0
3.8e-013 0
4.3e-013 0
4.8e-013 0
5.3e-013 0
5.8e-013 0
6.3e-013 0
6.8e-013 0
7.3e-013 0
7.8e-013 0
8.3e-013 1
8.8e-013 1
9.3e-013 0
9.8e-013 1
1.03e-012 1
1.08e-012 7
1.13e-012 6
1.18e-012 16
1.23e-012 20
1.28e-012 16
1.33e-012 32
1.38e-012 32
1.43e-012 43
1.48e-012 46
1.53e-012 51
1.58e-012 54
1.63e-012 72
1.68e-012 77
1.73e-012 82
1.78e-012 108
1.83e-012 122
1.88e-012 137
1.93e-012 149
1.98e-012 183
2.03e-012 181
2.08e-012 238
2.13e-012 254
2.18e-012 268
2.23e-012 307
2.28e-012 308
2.33e-012 306
2.38e-012 363
2.43e-012 388
2.48e-012 456
2.53e-012 461
2.58e-012 502
2.63e-012 506
2.68e-012 553
2.73e-012 597
2.78e-012 573
2.83e-012 516
2.88e-012 606
2.93e-012 608
2.98e-012 643
3.03e-012 640
3.08e-012 666
3.13e-012 621
3.18e-012 601
3.23e-012 604
3.28e-012 625
3.33e-012 606
3.38e-012 618
3.43e-012 564
3.48e-012 622
3.53e-012 574
3.58e-012 557
3.63e-012 586
3.68e-012 566
3.73e-012 565
3.78e-012 553
3.83e-012 521
3.88e-012 526
3.93e-012 489
3.98e-012 516
4.03e-012 488
4.08e-012 496
4.13e-012 518
4.18e-012 498
4.23e-012 495
4.28e-012 552
4.33e-012 527
4.38e-012 531
4.43e-012 536
4.48e-012 538
4.53e-012 507
4.58e-012 488
4.63e-012 524
4.68e-012 514
4.73e-012 510
4.78e-012 475
4.83e-012 502
4.88e-012 493
4.93e-012 416
4.98e-012 417
5.03e-012 407
5.08e-012 379
5.13e-012 345
5.18e-012 367
5.23e-012 311
5.28e-012 300
5.33e-012 268
5.38e-012 258
5.43e-012 256
5.48e-012 224
5.53e-012 194
5.58e-012 178
5.63e-012 166
5.68e-012 130
5.73e-012 115
5.78e-012 105
5.83e-012 80
5.88e-012 75
5.93e-012 61
5.98e-012 55
6.03e-012 37
6.08e-012 33
6.13e-012 24
6.18e-012 19
6.23e-012 17
6.28e-012 12
6.33e-012 8
6.38e-012 5
6.43e-012 1
6.48e-012 1
6.53e-012 2
6.58e-012 0
6.63e-012 1
6.68e-012 0
6.73e-012 0
6.78e-012 0
6.83e-012 0
6.88e-012 0
6.93e-012 0
6.98e-012 0
7.03e-012 0
7.08e-012 0
7.13e-012 0
7.18e-012 0
7.23e-012 0
7.28e-012 0
7.33e-012 0
7.38e-012 0
7.43e-012 0
7.48e-012 0
7.53e-012 0
7.58e-012 0
7.63e-012 0
7.68e-012 0
7.73e-012 0
7.78e-012 0
7.83e-012 0
7.88e-012 0
7.93e-012 0
7.98e-012 0
8.03e-012 0
8.08e-012 0
8.13e-012 0
8.18e-012 0
8.23e-012 0
